altitude,density,pressure
0,1.225,101325
500,1.167,95461
1000,1.112,89880
1500,1.058,84556
2000,1.007,79500
2500,0.957,74690
3000,0.909,70108
4000,0.819,61640
5000,0.736,54020
6000,0.660,47181
7000,0.590,41061
8000,0.526,35600
9000,0.467,30743
10000,0.414,26436
